id;kodeinstansi;tipetabel;notabel;judultabel;judultabelen;created_at;updated_at
39;021;021001;1;Luas Kawasan Hutan dan Perairan menurut Kecamatan di Kabupaten Soppeng (ha);Extent of Forest  Area; Inland Water; Coastal; and Marine Ecosystem by Subdistricts in Soppeng Regency (ha);;
40;025;025001;1;Banyaknya Anggota Perpustakaan Menurut Bulan dan Jenis Kelamin di Kabupaten Soppeng;Number of Library Members by Month and Sex in Soppeng Regency;;
41;025;025002;2;Banyaknya Pengunjung Perpustakaan Menurut Bulan dan Jenis Kelamin di Kabupaten Soppeng;Number of Library Visitors by Month and Sex in Soppeng Regency;;
42;023;023001;1;Jumlah Desa, Kelurahan, Lingkungan, Dusun, RW/RK, dan RT Menurut Kecamatan di Kabupaten Soppeng;Number of Villages, Urban Villages, Backwoods, Urban Backwoods, Hamlet and Neighbourhood by Subdistrict in Soppeng Regency;;
43;023;023002;2;Jumlah Desa/Kelurahan Menurut Kecamatan dan Klasifikasi Desa/Kelurahan di Kabupaten Soppeng;Number of Villages/Urban Villages by Subdistrict and Villages/Urban Villages Category in Soppeng Regency;;
44;023;023003;3;Jumlah Desa Menurut Kecamatan dan Klasifikasi Indeks Desa Membangun di Kabupaten Soppeng;Number of Villages by Subdistrict and Development Villages Index Categories in Soppeng Regency;;
58;022;022002;2;Jumlah organisasi kemasyarakatan (Ormas)/lembaga swadaya masyarakat (LSM) yang terdaftar di Bakesbangpol;Number of community organizations (Ormas)/non-governmental organizations (NGOs) registered with Bakesbangpol;;
59;019;019001;1;Jumlah Kelompok Informasi Masyarakat menurut Kecamatan di Kabupaten Soppeng;Number of Community Information Groups by Subdistrict in Soppeng Regency;;
60;019;019002;2;Jumlah Pengelola TV Kabel menurut Kecamatan di Kabupaten Soppeng;Number of Cable TV Management by Subdistrict in Soppeng Regency;;
61;019;019003;3;Jumlah Media menurut Jenis dan Induk Organisasi di Kabupaten Soppeng;Number of Media by Type and Parent Organization in Soppeng Regency;;
62;019;019004;4;Banyaknya Menara Base Tranceiver Station (BTS) menurut Kecamatan di Kabupaten Soppeng;Number of BTS Tower by Subdistrict in Soppeng Regency;;
63;019;019005;5;Banyaknya Website menurut Kecamatan di Kabupaten Soppeng;Number of Website by Subdistrict in Soppeng Regency;;
64;020;020001;1;Jumlah Organisasi Politik dan Organisasi Masyarakat menurut Kecamatan di Kabupaten Soppeng;Number of Political Organizations and Community Organizations by Subdistrict in Soppeng Regency;;
65;020;020002;2;Jumlah organisasi kemasyarakatan (Ormas)/lembaga swadaya masyarakat (LSM) yang terdaftar di Bakesbangpol;Number of community organizations (Ormas)/non-governmental organizations (NGOs) registered with Bakesbangpol;;
66;020;020003;3;Jumlah Organisasi Masyarakat menurut Kecamatan di Kabupaten Soppeng;Number of Community Organizations by Subdistrict in Soppeng Regency;;
67;020;020004;4;Jumlah Kunjungan dan Tinggal Orang Asing di Kabupaten soppeng;Number of Visits and Stay of Foreigners in Soppeng Regency;;
68;020;020005;5;Jumlah Demonstrasi dan Penyampaian Aspirasi di Kabupaten Soppeng;Number of Demonstrations and Delivery of Aspirations in Soppeng Regency;;
69;049;049001;1;Jumlah Kejadian Bencana Alam menurut Kecamatan di Kabupaten Soppeng;Number of Natural Disaster Events by Subdistrict in Soppeng Regency;;
70;049;049002;2;Jumlah Korban Manusia yang Diakibatkan oleh Bencana Alam menurut Kecamatan di Kabupaten Soppeng;Number of Human Victims Caused by Natural Disaster by Subdistrict in Soppeng Regency;;
71;049;049003;3;Jumlah Kerusakan Rumah yang Diakibatkan oleh Bencana Alam menurut Kecamatan di Kabupaten Soppeng;Number of House Damaged Caused by Natural Disaster by Subdistrict in Soppeng Regency;;
72;048;048001;1;Banyaknya Pelanggan Induk Telepon Menurut Kecamatan di Kabupaten Soppeng;Number of Phone Customer by Subdistrict in Soppeng Regency;;
73;048;048002;2;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Communication and Information Facilities by Villages/Urban Villages in Marioriwawo Subdistrict;;
74;048;048003;3;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Communication and Information Facilities by Villages/Urban Villages in Lalabata Subdistrict;;
75;048;048004;4;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Communication and Information Facilities by Villages/Urban Villages in Liliriaja Subdistrict;;
76;048;048005;5;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Ganra;Number of Communication and Information Facilities by Villages/Urban Villages in Ganra Subdistrict;;
77;048;048006;6;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Citta;Number of Communication and Information Facilities by Villages/Urban Villages in Citta Subdistrict;;
78;048;048007;7;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Lilirilau;Number of Communication and Information Facilities by Villages/Urban Villages in Lilirilau Subdistrict;;
79;048;048008;8;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Donri-Donri;Number of Communication and Information Facilities by Villages/Urban Villages in Donri-Donri Subdistrict;;
80;048;048009;9;Banyaknya Fasilitas Komunikasi dan Informasi Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Communication and Information Facilities by Villages/Urban Villages in Marioriawa Subdistrict;;
81;048;048010;10;Banyaknya Sambungan Induk Telepon Menurut Kecamatan di Kabupaten Soppeng;Number of Main Phone Connection by Subdistrict in Soppeng Regency; 2018-2022			Number of Main Phone Connection by Subdistrict in Soppeng Regency;;
82;048;048011;11;PSB POTS/ SPEEDY;PSB POTS/ SPEEDY;;
83;048;048012;12;PSB POTS/ INDIHOME;PSB POTS/ INDIHOME;;
84;047;047001;1;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Citta;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Citta Subdistrict;;
85;047;047002;2;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Lalabata;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Lalabata Subdistrict;;
86;047;047003;3;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Donri-donri ;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Donri-donri Subdistrict;;
87;047;047004;4;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Ganra;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Ganra Subdistrict;;
88;047;047005;5;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Liliriaja;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Liliriaja Subdistrict;;
89;047;047006;6;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Lilirilau;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Lilirilau Subdistrict;;
90;047;047007;7;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Marioriawa;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Marioriawa Subdistrict;;
91;047;047008;8;Banyaknya Rumah Permanen, Rumah Sehat dan Rumah Tidak Sehat Menurut Desa/Kelurahan di Kecamatan Marioriwawo;Number of Permanent, Healthy and Non-Healthy House by Villages/Urban Villages in Marioriwawo Subdistrict;;
92;038;038001;1;Jumlah Keluarga Penerima Manfaat (KPM) dan Anggaran Bantuan Sosial Pangan Menurut Kecamatan di Kabupaten Soppeng;Number of Beneficiary Family and Food Social Assistance Budget by Subdistrict in Soppeng Regency;;
93;038;038002;2;Banyaknya Penyandang Cacat Tubuh, Tuna Netra, Tuna Karya dan Tuna Susila Menurut Kecamatan di Kabupaten Soppeng;Number of Person with Disability by Subdistrict in Soppeng Regency;;
94;038;038003;3;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Marioriwawo;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Marioriwawo Subdistrict;;
95;038;038004;4;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Lalabata;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Lalabata Subdistrict;;
